35A;268580036;NOME2;12014;20143;DCC042;82;Aprovado
35A;268580036;NOME2;12014;20143;DCC059;19;Rep Nota
35A;268580036;NOME2;12014;20143;DCC160;84;Aprovado
35A;268580036;NOME2;12014;20143;DCC175;94;Aprovado
35A;268580036;NOME2;12014;20143;DCC179;100;Aprovado
35A;268580036;NOME2;12014;20143;MAT157;28;Rep Nota
35A;268580036;NOME2;12014;20143;MAT158;TM;Trancado
35A;268580037,3;NOME2;12014;20143;DCC160;71;Aprovado
35A;268580037,3;NOME2;12014;20143;DCC175;81;Aprovado
35A;268580037,3;NOME2;12014;20143;DCC179;97;Aprovado
35A;268580038,7;NOME2;12014;20143;DCC119;RI;Rep Freq
35A;268580038,7;NOME2;12014;20143;DCC120;8;Rep Freq
35A;268580038,7;NOME2;12014;20143;DCC160;7;Rep Freq
35A;268580038,7;NOME2;12014;20143;DCC175;40;Rep Nota
35A;268580038,7;NOME2;12014;20143;DCC179;;Rep Freq
35A;268580038,7;NOME2;12014;20143;MAT154;TM;Trancado
35A;268580038,7;NOME2;12014;20143;MAT155;4;Rep Nota
35A;268580040;NOME2;12014;20143;DCC119;RI;Rep Freq
35A;268580040;NOME2;12014;20143;DCC120;0;Rep Freq
35A;268580040;NOME2;12014;20143;DCC160;0;Rep Freq
35A;268580040;NOME2;12014;20143;DCC175;RI;Rep Freq
35A;268580040;NOME2;12014;20143;DCC179;;Rep Freq
35A;268580040;NOME2;12014;20143;MAT154;;Rep Freq
35A;268580040;NOME2;12014;20143;MAT155;0;Rep Nota
35A;268580041,3;NOME2;12014;20131;MAT155;60;Aprovado
35A;268580041,3;NOME2;12014;20141;DCC122;81;Aprovado
35A;268580041,3;NOME2;12014;20141;FIS073;60;Aprovado
35A;268580041,3;NOME2;12014;20141;FIS077;71;Aprovado
35A;268580041,3;NOME2;12014;20143;DCC119;98;Aprovado
35A;268580041,3;NOME2;12014;20143;DCC120;98;Aprovado
35A;268580041,3;NOME2;12014;20143;DCC160;80;Aprovado
35A;268580041,3;NOME2;12014;20143;DCC175;78;Aprovado
35A;268580041,3;NOME2;12014;20143;DCC179;87;Aprovado
35A;268580041,3;NOME2;12014;20143;MAT154;81;Aprovado
35A;268580042,7;NOME2;12014;20143;DCC119;69;Aprovado
35A;268580042,7;NOME2;12014;20143;DCC120;69;Aprovado
35A;268580042,7;NOME2;12014;20143;DCC160;60;Aprovado
35A;268580042,7;NOME2;12014;20143;DCC175;63;Aprovado
35A;268580042,7;NOME2;12014;20143;DCC179;87;Aprovado
35A;268580042,7;NOME2;12014;20143;MAT154;7;Rep Nota
35A;268580042,7;NOME2;12014;20143;MAT155;44;Rep Nota
35A;268580044;NOME2;12014;20143;DCC119;93;Aprovado
35A;268580044;NOME2;12014;20143;DCC120;93;Aprovado
35A;268580044;NOME2;12014;20143;DCC160;83;Aprovado
35A;268580044;NOME2;12014;20143;DCC175;93;Aprovado
35A;268580044;NOME2;12014;20143;DCC179;93;Aprovado
35A;268580044;NOME2;12014;20143;MAT154;65;Aprovado
35A;268580044;NOME2;12014;20143;MAT155;84;Aprovado
35A;268580046,7;NOME2;12014;20143;DCC119;6;Rep Nota
35A;268580046,7;NOME2;12014;20143;DCC120;6;Rep Nota
35A;268580046,7;NOME2;12014;20143;DCC160;60;Aprovado
35A;268580046,7;NOME2;12014;20143;DCC175;71;Aprovado
35A;268580046,7;NOME2;12014;20143;DCC179;65;Aprovado
35A;268580046,7;NOME2;12014;20143;MAT154;1;Rep Nota
35A;268580046,7;NOME2;12014;20143;MAT155;10;Rep Nota
35A;268580048;NOME2;12014;20143;DCC119;40;Rep Nota
35A;268580048;NOME2;12014;20143;DCC120;40;Rep Nota
35A;268580048;NOME2;12014;20143;DCC160;56;Rep Nota
35A;268580048;NOME2;12014;20143;DCC175;74;Aprovado
35A;268580048;NOME2;12014;20143;DCC179;92;Aprovado
35A;268580048;NOME2;12014;20143;MAT154;TM;Trancado
35A;268580048;NOME2;12014;20143;MAT155;TM;Trancado
35A;268580049,3;NOME2;12014;20143;DCC119;TM;Trancado
35A;268580049,3;NOME2;12014;20143;DCC120;TM;Trancado
35A;268580049,3;NOME2;12014;20143;DCC160;35;Rep Nota
35A;268580049,3;NOME2;12014;20143;DCC175;81;Aprovado
35A;268580049,3;NOME2;12014;20143;DCC179;;Rep Freq
35A;268580049,3;NOME2;12014;20143;MAT154;TM;Trancado
35A;268580049,3;NOME2;12014;20143;MAT155;TM;Trancado
